price,year,manufacturer,model,odometer,type,paint_color,state,lat,long
17600,2015,,kaufman,1,truck,,fl,30.2231,-81.7556
19999,2002,lexus,lx 470,195000,SUV,blue,fl,,
4200,2006,honda,odyssey,150,,,fl,30.2407,-81.617
6000,2008,nissan,altima 2.5 s,90617,sedan,white,fl,30.4507,-81.6626
47995,2019,dodge,2500 big horn crew cab,28262,,grey,fl,28.758455,-81.286395
47376,2019,ford,f150 xlt 4wd,20238,,,fl,29.801076,-82.529678
57900,2000,chevrolet,f7b042,189140,truck,white,fl,30.318518,-81.524592
8900,2005,ford,freestar,102902,van,brown,fl,30.318518,-81.524592
19900,2011,honda,odyssey,142153,van,black,fl,30.318518,-81.524592
9900,2006,dodge,grand caravan,174310,van,white,fl,30.318518,-81.524592
3600,2003,honda,cr-v,290836,SUV,custom,fl,30.318518,-81.524592
5500,2003,honda,civic,216375,hatchback,black,fl,30.318518,-81.524592
7500,2006,mercedes-benz,benz s500,124500,sedan,silver,fl,30.1548,-81.63
73000,2016,tesla,s p100d,24350,sedan,grey,fl,30.1548,-81.63
5500,2003,chevrolet,silverado,250000,,,fl,30.3937,-81.6889
11400,2007,chevrolet,tahoe,138863,SUV,black,fl,28.7644,-81.282
26900,2013,ford,f-150 xlt,126510,truck,,fl,27.5885,-80.3923
29999,2008,ford,f350 super duty crew cab,147799,pickup,black,fl,28.8013,-81.285
68500,2021,toyota,4 runner trd pro,865,SUV,grey,fl,30.2214,-81.5571
29900,2016,ford,mustang gt premium,93603,coupe,,fl,27.5885,-80.3923
7990,2007,mercedes-benz,benz ml350,131000,SUV,white,fl,30.28679,-81.554174
11500,2012,nissan,pathfinder silver,138500,SUV,white,fl,30.60548,-81.491629
30990,2013,chevrolet,camaro ss coupe 2d,14112,coupe,orange,fl,30.33,-81.65
38590,2017,nissan,titan xd crew cab sv,26539,pickup,black,fl,30.33,-81.65
24590,2017,chevrolet,silverado 1500 regular,40784,pickup,white,fl,30.33,-81.65
27990,2014,toyota,tacoma access cab pickup,17805,pickup,red,fl,30.33,-81.65
14200,2016,nissan,altima,62727,sedan,,fl,28.329026,-81.404237
11900,1995,lexus,sc400,111250,coupe,green,fl,30.639684,-81.453495
13500,2014,lexus,ct,93538,hatchback,red,fl,28.329026,-81.404237
5500,2004,honda,accord ex-l,146700,sedan,silver,fl,27.7723,-82.6386
55000,2016,,kenworth t680,680000,truck,white,fl,30.403566,-81.742667
36990,2018,gmc,sierra 1500 double cab sle,23424,pickup,black,fl,30.33,-81.65
34990,2018,toyota,tacoma double cab trd,13147,pickup,red,fl,30.33,-81.65
14850,2017,jeep,compass,72034,SUV,black,fl,28.329026,-81.404237
9000,2016,chevrolet,impala,44259,sedan,white,fl,30.394,-81.689
33590,2019,ford,ranger supercrew xl pickup,33424,pickup,white,fl,30.33,-81.65
16990,2016,kia,forte koup ex coupe 2d,17631,coupe,,fl,30.33,-81.65
5200,2008,toyota,sienna,193000,mini-van,white,fl,30.288479,-81.578134
7988,2012,jeep,compass,114195,SUV,,fl,30.2787,-81.5831
1450,2003,ford,taurus,311889,,grey,fl,30.025223,-82.350266
19958,2017,volkswagen,e-golf,26535,hatchback,black,ga,34.087409,-83.945058
22795,2015,mercedes-benz,c-class,67870,sedan,silver,ga,33.669601,-86.817617
19958,2016,volkswagen,beetle,34842,hatchback,silver,ga,34.087409,-83.945058
7000,2012,nissan,altima,80000,,white,ga,33.4944,-84.3797
7990,2015,toyota,corolla,204256,sedan,grey,ga,34.087409,-83.945058
9587,2013,nissan,sentra,920152,sedan,custom,ga,33.575891,-84.543792
0,2007,infiniti,fx35,1,,,ga,33.8332,-84.6031
1600,2020,dodge,charger,1,,,ga,33.8332,-84.6031
0,2021,dodge,charger,1,,,ga,33.8332,-84.6031
3999,2008,chrysler,sebring 4dr sedan lx f,143476,sedan,,ga,33.899031,-84.246876
0,2008,dodge,charger r/t,1,,,ga,33.8332,-84.6031
39500,2016,gmc,yukon xl denali,91351,SUV,,ga,27.5885,-80.3923
29977,2005,chevrolet,corvette,20732,coupe,red,ga,34.087409,-83.945058
39500,2016,gmc,yukon xl denali,91351,SUV,,ga,27.5885,-80.3923
0,2008,honda,accord coupe,0,coupe,white,ga,33.871048,-84.298176
0,2006,honda,accord sedan,0,sedan,silver,ga,33.871048,-84.298176
18990,2014,volkswagen,touareg,75108,SUV,grey,ga,34.087409,-83.945058
17900,2013,ford,explorer xlt,86880,SUV,white,hi,21.331156,-157.884323
17900,2012,audi,q5 3.2 quattro premium plus,87379,SUV,black,hi,21.331156,-157.884323
6800,2012,subaru,forester,134000,,grey,hi,19.6748,-155.0646
5000,2007,honda,accord 4-door sedan,117300,sedan,,hi,19.596407,-154.993658
4000,1992,ram,,100000,truck,,hi,22.2073,-159.3954
21000,2017,ford,,70000,van,white,hi,21.2928,-157.7552
9000,2007,ford,explorer,181926,,,hi,21.908386,-159.707445
1200,2010,mazda,5,115000,hatchback,red,hi,21.318689,-157.863401
2950,2016,,Fuel,7000,,,hi,20.0827,-155.488
37988,2014,toyota,fj cruiser 4x4,86834,,,hi,21.3488,-157.8759
37988,2014,toyota,fj cruiser 4x4,86834,,,hi,21.3488,-157.8759
37988,2014,toyota,fj cruiser 4x4,86834,,,hi,21.3488,-157.8759
22950,2011,jeep,wrangler,75880,SUV,black,hi,21.9816,-159.3683
37988,2014,toyota,fj cruiser,86834,,,hi,21.3488,-157.8759
19995,2012,nissan,frontier sv crew cab,100264,truck,black,hi,20.774332,-156.452715
17995,2010,toyota,tacoma,116379,truck,silver,hi,20.774512,-156.452758
53995,2017,toyota,tundra trd 4x4,53639,truck,grey,hi,20.774512,-156.452758
7000,2008,bmw,528i,119000,sedan,blue,hi,20.7441,-156.4475
10999,2016,kia,soul,84949,wagon,,hi,21.490687,-158.030906
15995,2017,hyundai,elantra se,43321,sedan,silver,hi,20.569559,-156.50493
21995,2017,acura,ilx,48182,sedan,blue,hi,20.569559,-156.50493
19990,2012,toyota,4-runner,161004,wagon,black,hi,21.33539,-157.89922
33500,2019,subaru,impreza wrx premium,7276,,,hi,19.725241,-155.058911
28999,2017,alfa-romeo,romeo giulia q4 awd gas,18702,sedan,white,id,47.65613,-117.236949
77999,2020,ram,diesels cummins 3500,3797,truck,white,id,47.65613,-117.236949
39999,2018,toyota,tacoma trd off road 4x4,22236,truck,red,id,47.65613,-117.236949
43999,2019,toyota,lifted tacoma trd off 4x4,23120,truck,grey,id,47.65613,-117.236949
29799,2018,chrysler,300 s awd gas sedan,28748,sedan,silver,id,47.65613,-117.236949
29980,2017,ford,flex,45154,SUV,red,id,47.692931,-117.411632
12999,2011,volkswagen,golf,68925,hatchback,grey,id,47.656773,-117.218613
86999,2020,ford,f350 deisel power stroke,5873,truck,black,id,47.65613,-117.236949
11999,2011,mini,hardtop,84444,hatchback,red,id,47.656773,-117.218613
17000,2017,chevrolet,cruze eco diesel,34300,sedan,silver,id,46.88,-117.367
34999,2012,chevrolet,silverado 2500 hd lt,69483,truck,silver,id,47.65613,-117.236949
9999,2017,mitsubishi,mirage g4,62482,sedan,white,id,47.656773,-117.218613
69999,2020,ford,f350 diesel powerstroke,12589,truck,white,id,47.65613,-117.236949
46999,2019,ford,lifted f150 xlt fx4 4x4 gas,17170,truck,white,id,47.65613,-117.236949
34999,2015,ford,f-150,86796,pickup,,id,47.656773,-117.218613
46447,2019,gmc,sierra 1500 4x4 half ton gas,14947,truck,white,id,47.65613,-117.236949
18999,2016,chevrolet,traverse,108804,SUV,black,id,47.656773,-117.218613
39999,2015,toyota,tundra sr5 trd offroad,83003,truck,silver,id,47.65613,-117.236949
8999,2007,toyota,rav4,195596,wagon,silver,id,47.656773,-117.218613
52999,2016,ram,diesels cummins 3500,104895,truck,grey,id,47.65613,-117.236949
13999,2015,ford,escape s fwd gas suv auto,72409,SUV,blue,id,47.65613,-117.236949
26867,2019,jeep,cherokee,13255,SUV,blue,il,42.28203,-87.936735
1995,2003,mitsubishi,lancer ls,114208,sedan,white,il,41.572305,-88.113993
11995,2004,toyota,tacoma v6 4dr double cab v6,183435,pickup,silver,il,41.572305,-88.113993
2995,2004,honda,civic ex,1,sedan,grey,il,41.572305,-88.113993
4995,2004,ford,escape xlt,97985,SUV,red,il,41.572305,-88.113993
3995,2005,jeep,liberty sport,154892,SUV,silver,il,41.572305,-88.113993
8995,2005,jeep,grand cherokee limited 4dr limited,64057,SUV,silver,il,41.572305,-88.113993
10995,2005,chevrolet,avalanche 1500 ls 4dr 1500 ls crew cab sb,75367,pickup,silver,il,41.572305,-88.113993
6995,2005,chevrolet,astro cargo,107595,van,white,il,41.572305,-88.113993
8995,2006,toyota,tacoma 4dr access cab,225505,pickup,red,il,41.572305,-88.113993
5995,2006,toyota,avalon xls,100929,sedan,grey,il,41.572305,-88.113993
8995,2006,toyota,4runner limited limited 4dr suv,217279,SUV,grey,il,41.572305,-88.113993
2995,2006,mazda,mazda6 s sport,120174,wagon,grey,il,41.572305,-88.113993
5995,2006,infiniti,m35 x,165375,sedan,white,il,41.572305,-88.113993
14995,2006,ford,f-250 super duty xl xl 2dr regular cab,79579,pickup,white,il,41.572305,-88.113993
